Nombre del Centro;Nº de Registro;Dirección;Código postal;Localidad;Provincia;Teléfono;Fax;Tipo de Centro;Finalidad Asistencial;Titularidad;Dependencia Funcional
CLIDERMA LEÓN ;24-C21-0200;CL. GRAN VÍA SAN MARCOS 57  I;24001;LEON;LEON;987222055;987222055;CONSULTAS MÉDICAS;CIRUGÍA MENOR AMBULATORIA#DEPÓSITO DE MEDICAMENTOS#DERMATOLOGÍA ;RODRIGUEZ PRIETO , MANUEL ANGEL;PRIVADOS;
CLÍNCA DENTAL  HERNÁNDEZ ;37-C251-0099;CL. ALFONSO IX DE LEÓN 42-44  ;37004;SALAMANCA;SALAMANCA;923121714;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;HERNÁNDEZ MARTÍN , JOSÉ;PRIVADOS;
CLÍNICA  DE O.R.L. DRES. A. MUÑOZ HERRERA - F. BENITO GONZÁLEZ Y ASOCIADOS;37-C21-0084;CL. PRIOR 1  B;37002;SALAMANCA;SALAMANCA;923270537;0;CONSULTAS MÉDICAS;OTORRINOLARINGOLOGÍA;DRS. A. MUÑOZ HERRERA - F. BENITO GONZÁLEZ  , Y ASOCIADOS S.L.P.;PRIVADOS;
CLÍNICA  PODOLÓGICA DE Dª FUENSANTA DE LA CALLE PEÑA;40-C22-0048;CL. CORREDERA 4  D;40400;ESPINAR (EL);SEGOVIA;921182743;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;PODOLOGÍA;DE LA CALLE PEÑA , FUENSANTA;PRIVADOS;
CLÍNICA ADROLID DENTAL;47-C251-0241;CL. VILLA 4  ;47270;CIGALES;VALLADOLID;983267362;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;ADROLID DENTAL, S.L.P.;PRIVADOS;
CLÍNICA ALBERTOS;47-C2590-0004;CL. DUQUE DE LA VICTORIA  4  ;47001;VALLADOLID;VALLADOLID;983354613;0;OTROS CENTROS ESPECIALIZADOS;CIRUGÍA ESTÉTICA#CIRUGÍA PLASTICA Y REPARADORA#DEPÓSITO DE MEDICAMENTOS#MEDICINA ESTÉTICA#TERAPIAS NO CONVENCIONALES;ALBERTOS MARTÍN , MARÍA CRISTINA;PRIVADOS;
CLÍNICA ALERGOASMA;37-C2590-0003;CL. PINTO 2-18  ;37001;SALAMANCA;SALAMANCA;923264061;0;OTROS CENTROS ESPECIALIZADOS;ALERGOLOGÍA;ALERGOASMA, S.L.;PRIVADOS;
CLÍNICA ALTHEA;47-C24-0072;CL. MARIANO GARCÍA ABRIL 2  ;47014;VALLADOLID;VALLADOLID;627907136;0;CENTROS POLIVALENTES;FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#OTRAS UNIDADES ASISTENCIALES#PODOLOGÍA;FISIOTERAPIA-OSTEOPATÍA-RECUPARACIÓN DEPORTIVA ALT;PRIVADOS;
CLÍNICA ALTOLLANO;24-C11-0001;CL. LA FUENTINA 0  ;24193;NAVATEJERA;LEON;987286000;987286012;HOSPITALES GENERALES;ALERGOLOGÍA#ANÁLISIS CLÍNICOS#ANESTESIA Y REANIMACIÓN#ANGIOLOGÍA Y CIRUGÍA VASCULAR#APARATO DIGESTIVO#CARDIOLOGÍA#CIRUGÍA GENERAL Y DIGESTIVO#CIRUGÍA MAXILOFACIAL#CIRUGÍA MAYOR AMBULATORIA#CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA#CIRUGÍA PEDIÁTRICA#CIRUGÍA PLASTICA Y REPARADORA#DERMATOLOGÍA #ENDOCRINOLOGÍA #ENFERMERÍA#FARMACIA#FISIOTERAPIA#GINECOLOGÍA #HEMATOLOGÍA CLÍNICA#IMPLANTACIÓN DE TEJIDOS#LOGOPEDIA#MEDICINA GENERAL /  DE FAMILIA#MEDICINA INTERNA#NEFROLOGÍA#NEUMOLOGÍA#NEUROCIRUGÍA#NEUROFISIOLOGÍA #NEUROLOGÍA#NUTRICIÓN Y DIETÉTICA#OBSTETRICIA#OBTENCIÓN DE MUESTRAS#OBTENCIÓN DE TEJIDOS#ODONTOLOGÍA / ESTOMATOLOGÍA#OFTALMOLOGÍA#ONCOLOGÍA #OTORRINOLARINGOLOGÍA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA)#PEDIATRÍA#PSIQUIATRÍA#RADIODIAGNÓSTICO#REHABILITACIÓN#SERVICIO DE TRANSFUSIÓN#URGENCIAS#UROLOGÍA;DUQUESILVER, S.A.;PRIVADOS;
CLÍNICA ARTE DENTAL;05-C251-0046;AV. DE MADRID, 29, PORTAL 1- 1º B   ;05420;SOTILLO DE LA ADRADA;AVILA;0;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;ALDER SOUTO , CLAUDIA;PRIVADOS;
CLÍNICA ASCLEPIO;40-C22-0079;CL. LEOPOLDO ALAS CLARÍN 1  ;40006;SEGOVIA;SEGOVIA;921700126;921700126;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;PALOMO VELA , JAVIER;PRIVADOS;
CLÍNICA ATAMA INTEGRAL;47-C24-0066;CL. ESTEBAN GARCÍA CHICO 10  ;47003;VALLADOLID;VALLADOLID;0;0;CENTROS POLIVALENTES;FISIOTERAPIA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA);LINARES ALONSO , ANA MARÍA;PRIVADOS;
CLÍNICA ATRIO;47-C24-0037;CL. ATRIO DE SANTIAGO 7  A;47001;VALLADOLID;VALLADOLID;630361796;0;CENTROS POLIVALENTES;ATENCIÓN SANITARIA DOMICILIARIA#ENDOCRINOLOGÍA #ENFERMERÍA#MEDICINA GENERAL /  DE FAMILIA#NUTRICIÓN Y DIETÉTICA;DUNAZUL, S.L.;PRIVADOS;
CLÍNICA AXON;47-C2590-0008;CL. CASTELAR 2  ;47002;VALLADOLID;VALLADOLID;983203344;983218545;OTROS CENTROS ESPECIALIZADOS;CIRUGÍA MENOR AMBULATORIA#CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;SERTRAUMAVALL, S.L.;PRIVADOS;
CLÍNICA BALCAZAR TORRES;24-C251-0153;CL. LA PAZ 7  C;24400;PONFERRADA;LEON;987404019;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;BALCAZAR TORRES, S.L.;PRIVADOS;
CLÍNICA BARREDA;34-C24-0005;CL. VALENTÍN CALDERÓN 11  ;34001;PALENCIA;PALENCIA;979751813;979751813;CENTROS POLIVALENTES;FISIOTERAPIA#PODOLOGÍA;BARREDA MARTÍNEZ , SARA ZULIMA;PRIVADOS;
CLINICA BARRIENTOS;24-C22-0115;CL. RIO SELMO 10  ;24402;PONFERRADA;LEON;987097791;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;BARRIENTOS GALLEGO , Mª JOSE;PRIVADOS;
CLÍNICA BAVIERA;47-C2590-0001;PZ. CASTILLA Y LEÓN 2  ;47008;VALLADOLID;VALLADOLID;659460608;917819881;OTROS CENTROS ESPECIALIZADOS;ANESTESIA Y REANIMACIÓN#CIRUGÍA MAYOR AMBULATORIA#DEPÓSITO DE MEDICAMENTOS#OFTALMOLOGÍA;CLÍNICA BAVIERA, S.A.;PRIVADOS;
CLÍNICA BAVIERA - INSTITUTO OFTALMOLÓGICO EUROPEO;09-C2590-0028;CL. SAN ROQUE 2  ;09006;BURGOS;BURGOS;947245074;947244988;OTROS CENTROS ESPECIALIZADOS;ANESTESIA Y REANIMACIÓN#CIRUGÍA MAYOR AMBULATORIA#CIRUGÍA REFRACTIVA#OFTALMOLOGÍA;CLÍNICA BAVIERA, S.A.;PRIVADOS;
CLÍNICA BIO-BELL;37-C21-0030;AV. DE VILLAMAYOR 22  D;37007;SALAMANCA;SALAMANCA;923262346;0;CONSULTAS MÉDICAS;MEDICINA ESTÉTICA#MEDICINA GENERAL /  DE FAMILIA;RODRÍGUEZ DOMÍNGUEZ , Mª ISABEL;PRIVADOS;
CLÍNICA BIOSALUD;37-C24-0021;CL. FILIBERTO VILLALOBOS 124  ;37770;GUIJUELO;SALAMANCA;923580802;923582268;CENTROS POLIVALENTES;CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA#ENFERMERÍA#FISIOTERAPIA#GINECOLOGÍA #MEDICINA GENERAL /  DE FAMILIA#OBSTETRICIA#OTRAS UNIDADES ASISTENCIALES (CENTRO DE RECONOCIMIENTO) #PODOLOGÍA;CLÍNICA BIOSALUD, S.L.;PRIVADOS;
CLÍNICA BIOSALUD ZAMORA;49-C24-0012;AV. VÍCTOR GALLEGO 13  ;49009;ZAMORA;ZAMORA;674244745;0;CENTROS POLIVALENTES;FISIOTERAPIA#ODONTOLOGÍA / ESTOMATOLOGÍA;ANTONIO MARTÍN , VÍCTOR;PRIVADOS;
CLÍNICA BLANCO NUTRICIÓN Y DIETÉTICA;37-C22-0204;PZ. DE ESPAÑA  (EDIFICIO ESPAÑA-DESPACHO 413) 5-6  ;37004;SALAMANCA;SALAMANCA;637525807;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;NUTRICIÓN Y DIETÉTICA;BLANCO GARCÍA , IRENE;PRIVADOS;
CLÍNICA BROCENSE DENTAL;37-C251-0050;CL. BROCENSE 12  G;37002;SALAMANCA;SALAMANCA;923266621;923266618;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;BROCENSE DENTAL S.L.;PRIVADOS;
CLÍNICA BUCODENTAL DE D. IBRAHIM DIB;37-C251-0145;CL. FILIBERTO VILLALOBOS 28-30  ;37770;GUIJUELO;SALAMANCA;923581435;923581435;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;DIB ZAITUN , IBRAHIM;PRIVADOS;
CLÍNICA BUCO-DENTAL DE D. RAFAEL SAN MIGUEL HERNÁNDEZ;37-C251-0036;CL. POZO AMARILLO 31-33  B;37001;SALAMANCA;SALAMANCA;923270226;923270226;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;SAN MIGUEL HERNÁNDEZ , RAFAEL;PRIVADOS;
CLÍNICA BUCO-DENTAL DELICIAS;47-C251-0130;CL. MARIANO MIGUEL LÓPEZ 22  ;47013;VALLADOLID;VALLADOLID;983150130;983150130;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;BEJARANO SAAVEDRA , MARIBEL ERICKA;PRIVADOS;
CLÍNICA BUCODENTAL GORA;09-C251-0163;CL. CONDADO DE TREVIÑO 36  ;09200;MIRANDA DE EBRO;BURGOS;947992001;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;GFY DENTAL, S.L.P.;PRIVADOS;
CLÍNICA BUENO MENDÍA;47-C2510-0020;CL. JUAN MARTÍNEZ VILLERGAS 6  ;47014;VALLADOLID;VALLADOLID;983381327;0;ESPECIALIZADOS: CENTROS DE RECONOCIMIENTO;OTRAS UNIDADES ASISTENCIALES (CENTRO DE RECONOCIMIENTO) ;CLÍNICA BUENO MENDÍA S.L.;PRIVADOS;
CLÍNICA BURGO NUEVO;24-C22-0186;CL. BURGO NUEVO 4  3;24001;LEON;LEON;987261401;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;CLINICA BURGO NUEVO, C.B.;PRIVADOS;
CLÍNICA CARDIOLÓGICA DR. HIPÓLITO GUTIÉRREZ;47-C21-0351;CL. SANTIAGO 16  C;47001;VALLADOLID;VALLADOLID;983340821;0;CONSULTAS MÉDICAS;CARDIOLOGÍA;GUTIÉRREZ GARCÍA , HIPÓLITO;PRIVADOS;
CLÍNICA CDC DE MEDICINA ESTÉTICA DE D. LUIS FELIPE FERNÁNDEZ GARCÍA;47-C21-0264;CL. ENCARNACIÓN 2  ;47003;VALLADOLID;VALLADOLID;983360366;983360071;CONSULTAS MÉDICAS;DEPÓSITO DE MEDICAMENTOS#MEDICINA ESTÉTICA;FERNÁNDEZ GARCÍA , LUIS FELIPE;PRIVADOS;
CLÍNICA CENTRO ESTACIÓN  ;05-C24-0012;PS. DE LA ESTACIÓN 26  ;05001;AVILA;AVILA;920219848;0;CENTROS POLIVALENTES;ENFERMERÍA#LOGOPEDIA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGÍA SANITARIA)#PODOLOGÍA;BLESA ROBLES , JOSÉ ANTONIO;PRIVADOS;
CLÍNICA COLINA;09-C251-0118;CL. BRIVIESCA 25  ;09004;BURGOS;BURGOS;947044037;947044038;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;COLINA IMPLANTOLOGÍA, S.L.;PRIVADOS;
CLÍNICA CORPORE;37-C22-0113;CL. NÚÑEZ DE BALBOA 7  ;37004;SALAMANCA;SALAMANCA;923614564;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;TRELLES BUSTOS , JULIO CÉSAR;PRIVADOS;
CLÍNICA DE CIRUGÍA GENERAL Y FISIOTERAPIA DE D. JOSÉ Mª DEL RÍO FERNÁNDEZ;47-C24-0054;CL. DOCTRINOS 6  D;47001;VALLADOLID;VALLADOLID;983343762;0;CENTROS POLIVALENTES;CIRUGÍA GENERAL Y DIGESTIVO#FISIOTERAPIA;DEL RÍO FERNÁNDEZ , JOSÉ MARÍA;PRIVADOS;
CLÍNICA DE CONSULTAS MARÍA DE MOLINA;34-C24-0008;CL. MARÍA DE MOLINA 7  ;34004;PALENCIA;PALENCIA;639103922;0;CENTROS POLIVALENTES;MEDICINA ESTÉTICA#MEDICINA GENERAL /  DE FAMILIA#ODONTOLOGÍA / ESTOMATOLOGÍA;RESIDENCIA MAR DE CASTILLA, S.L.;PRIVADOS;
CLÍNICA DE D. JOSÉ ANTONIO POZA BARRERA;42-C21-0036;CL. FERIAL 3  A;42002;SORIA;SORIA;975224133;0;CONSULTAS MÉDICAS;DEPÓSITO DE MEDICAMENTOS#MEDICINA ESTÉTICA#MEDICINA GENERAL /  DE FAMILIA;POZA BARRERA , JOSÉ ANTONIO;PRIVADOS;
CLÍNICA DE Dª SANDRA DE OLIVEIRA;05-C24-0006;CL. CRUZ ROJA 1  ;05001;AVILA;AVILA;920223609;920352609;CENTROS POLIVALENTES;FISIOTERAPIA#MEDICINA ESTÉTICA#MEDICINA GENERAL /  DE FAMILIA;ANDCARPAT MÉDICA, S.L.P.;PRIVADOS;
CLÍNICA DE ENDODONCIA DE D. JOSÉ MARÍA MALFAZ VÁZQUEZ;47-C251-0147;CL. DUQUE DE LA VICTORIA 1  ;47001;VALLADOLID;VALLADOLID;983377117;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;MALFAZ VÁZQUEZ , JOSÉ MARÍA;PRIVADOS;
CLÍNICA DE ESPECIALIDADES DENTALES;40-C251-0027;CL. EL PILAR 2  B;40400;ESPINAR (EL);SEGOVIA;921182794;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;YAZDPOURI, ROYA;PRIVADOS;
CLÍNICA DE ESPECIALIDADES DENTALES CASTILLA Y LEÓN;05-C251-0081;PS. DON CARMELO 26  ;05001;AVILA;AVILA;920252110;0;ESPECIALIZADOS: CLÍNICAS DENTALES;ODONTOLOGÍA / ESTOMATOLOGÍA;LUENGO GALLEGO , JUAN JOSÉ;PRIVADOS;
CLÍNICA DE FISIOTERAPIA AAB;49-C22-0060;CL. MIRADOR DEL DUERO 4  ;49017;ZAMORA;ZAMORA;980982858;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;ALONSO BARBOLLA , ADRIÁN;PRIVADOS;
CLÍNICA DE FISIOTERAPIA ANA DA COSTA;34-C22-0067;CL. OLMOS 3  ;34003;PALENCIA;PALENCIA;661115457;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;DA COSTA QUIJANO , ANA MARÍA;PRIVADOS;
CLINICA DE FISIOTERAPIA ASEMAR;24-C22-0048;CL. MAESTRO NICOLÁS 8  ;24005;LEON;LEON;987213788;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;ASEMAR FISIOTERAPEUTA, S.L.;PRIVADOS;
CLÍNICA DE FISIOTERAPIA ATLAS;05-C22-0032;CL. VIRGEN DE LA VEGA 21 3 4;05005;AVILA;AVILA;920257871;920257871;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;GARCÍA PAJARES , MARÍA DE LOS ÁNGELES;PRIVADOS;
CLINICA DE FISIOTERAPIA ATLAS (SALAMANCA);37-C22-0163;AV. DE PORTUGAL 23-27  E;37004;SALAMANCA;SALAMANCA;923621899;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;RODRÍGUEZ VALVERDE , DANIEL;PRIVADOS;
CLÍNICA DE FISIOTERAPIA CORPOREMA;49-C22-0063;CL. DOCTOR OLIVARES 5  ;49019;ZAMORA;ZAMORA;650245280;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;ZURRÓN CIFUENTES , DÉBORA;PRIVADOS;
CLÍNICA DE FISIOTERAPIA Dª SARA TERA;49-C22-0086;CL. TRASTOLA 2  ;49031;ZAMORA;ZAMORA;659239336;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;GONZÁLEZ  RIVERA , SARA TERA;PRIVADOS;
CLÍNICA DE FISIOTERAPIA D. VÍCTOR POLO;49-C22-0054;AV. LUIS RODRÍGUEZ DE MIGUEL 8  ;49800;TORO;ZAMORA;626952064;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;POLO MARBÁN , VÍCTOR;PRIVADOS;
CLÍNICA DE FISIOTERAPIA DE Dª ANA MARTÍN HERNÁNDEZ;37-C22-0060;PZ. DEL ÁNGEL 2 2 D;37002;SALAMANCA;SALAMANCA;923213697;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;MARTÍN HERNÁNDEZ , ANA;PRIVADOS;
CLÍNICA DE FISIOTERAPIA DE Dª. BLANCA GONZÁLEZ;37-C22-0212;CL. LAZARILLO DE TORMES 2  ;37900;SANTA MARTA DE TORMES;SALAMANCA;635542848;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;GONZÁLEZ ALONSO , BLANCA;PRIVADOS;
CLÍNICA DE FISIOTERAPIA DE Dª. CRISTINA NIETO GARCÍA;37-C22-0086;CR. DE LA ESTACIÓN 8-10  ;37700;BEJAR;SALAMANCA;923401946;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;NIETO GARCÍA , CRISTINA ;PRIVADOS;
CLÍNICA DE FISIOTERAPIA DE D. EDUARDO CORNAGO;42-C22-0072;CL. MERINEROS 16  ;42001;SORIA;SORIA;638884443;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;CORNAGO GARRIDO , EDUARDO;PRIVADOS;
CLÍNICA DE FISIOTERAPIA DE D. FERNANDO MUÑIZ;37-C22-0217;CL. SAN ROQUE 17  ;37210;VITIGUDINO;SALAMANCA;606037654;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;MUÑIZ HERNÁNDEZ , FERNANDO;PRIVADOS;
CLÍNICA DE FISIOTERAPIA DE D. JUAN CARLOS HERRANZ;37-C22-0214;CL. ACACIAS (ESQUINA CON C/ ORQUÍDEAS), 2  ;37004;SALAMANCA;SALAMANCA;685908188;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;JUAN CARLOS HERRANZ, S.L.P.;PRIVADOS;
CLÍNICA DE FISIOTERAPIA DE Dª. Mª BELÉN SÁNCHEZ GARCÍA ;37-C22-0115;CL. MAYOR 94  ;37290;BOADA;SALAMANCA;923104221;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;SÁNCHEZ GARCÍA , Mª BELÉN;PRIVADOS;
CLÍNICA DE FISIOTERAPIA DE D.ª MARÍA LÓPEZ COLLADO;05-C22-0060;PS. DE LA ESTACIÓN 13  ;05001;AVILA;AVILA;920224307;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;LÓPEZ COLLADO , MARÍA;PRIVADOS;
CLINICA DE FISIOTERAPIA DEL TENDÓN;37-C22-0186;CL. POZO 13-1  ;37188;CARBAJOSA DE LA SAGRADA;SALAMANCA;0;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;PRIETO DEL TESO , JUAN PEDRO;PRIVADOS;
CLÍNICA DE FISIOTERAPIA DELTA;40-C22-0053;CL. CANTARRANAS 11  ;40005;SEGOVIA;SEGOVIA;630422721;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;BUENO MARTÍNEZ , DANIEL;PRIVADOS;
CLÍNICA DE FISIOTERAPIA DIANA MUNTIÓN;09-C22-0057;CL. PARAGUAY 50  ;09500;MEDINA DE POMAR;BURGOS;947190407;947190407;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;MUNTIÓN VILLATE , DIANA;PRIVADOS;
CLINICA DE FISIOTERAPIA DIEGO MARCOS LÓPEZ;47-C22-0085;CL. LÓPEZ GÓMEZ 19  D;47002;VALLADOLID;VALLADOLID;983395034;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;MARCOS LÓPEZ , DIEGO;PRIVADOS;
CLÍNICA DE FISIOTERAPIA EL ARCO;05-C22-0072;PZ. DEL REAL 8  ;05020;AREVALO;AVILA;920300349;920300349;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;CABRERO CARRERA , EVA MARÍA;PRIVADOS;
CLÍNICA DE FISIOTERAPIA ERESMA;40-C2590-0005;CL. SANTA MARÍA DE NIEVA 14  ;40003;SEGOVIA;SEGOVIA;921442706;921442706;OTROS CENTROS ESPECIALIZADOS;FISIOTERAPIA;SASTRE-MONJAS, C.B.;PRIVADOS;
CLÍNICA DE FISIOTERAPIA FISIOCRIS;49-C22-0043;CL. CONDES DE ALBA Y ALISTE 3  ;49007;ZAMORA;ZAMORA;605902082;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;PÉREZ FERNÁNDEZ , CRISTINA;PRIVADOS;
CLÍNICA DE FISIOTERAPIA FISIODELICIAS;47-C22-0116;CL. HERMANITAS DE LA CRUZ 1  ;47013;VALLADOLID;VALLADOLID;606066040;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;REBOLLO ROJO , ALMUDENA;PRIVADOS;
CLÍNICA DE FISIOTERAPIA FISIOMED;37-C22-0134;PS. CANALEJAS 75  A;37001;SALAMANCA;SALAMANCA;923270852;923216632;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;BORREGO JIMÉNEZ , PEDRO SANTIAGO;PRIVADOS;
CLINICA DE FISIOTERAPIA FISIONAVA;24-C22-0097;CL. MIGUEL DE UNAMUNO 4  ;24193;NAVATEJERA;LEON;606932972;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;RUEDA GONZALEZ , RAQUEL;PRIVADOS;
CLINICA DE FISIOTERAPIA FISIONOVA;47-C22-0070;CL. DOJUELO 15  ;47610;ZARATAN;VALLADOLID;983343133;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;SERVICIOS DE SALUD Y PREVENCIÓN S.L.;PRIVADOS;
CLÍNICA DE FISIOTERAPIA FISIORIVHER;49-C22-0061;CL. AMARGURA 2  B;49012;ZAMORA;ZAMORA;980524454;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;FISIORIVHER, C.B.;PRIVADOS;
CLÍNICA DE FISIOTERAPIA FISIOTEC;37-C22-0201;CL. ERAS 9-11  ;37005;SALAMANCA;SALAMANCA;637172992;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;FISIOTEC SALAMANCA S.L.;PRIVADOS;
CLÍNICA DE FISIOTERAPIA FISIOTHER;47-C22-0137;CL. HERNANDO DE ACUÑA, LOCAL-1, 50  ;47014;VALLADOLID;VALLADOLID;699871930;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;CARRILLO VIDAL , ESTHER;PRIVADOS;
CLÍNICA DE FISIOTERAPIA FRANCISCO SUÁREZ;47-C22-0032;CL. PADRE FRANCISCO SUÁREZ 3  ;47006;VALLADOLID;VALLADOLID;983358592;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;BENGOECHEA ECHEVERRÍA , JAIONE;PRIVADOS;
CLÍNICA DE FISIOTERAPIA GAMMA;37-C22-0124;PS. DE LA ESTACIÓN, Nº 11-13  A;37004;SALAMANCA;SALAMANCA;923254495;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;VEGAS MONTEJO , JESÚS MARÍA;PRIVADOS;
CLÍNICA DE FISIOTERAPIA JAIME MORENO;05-C22-0019;PZ. DE PONTEVEDRA  3  ;05400;ARENAS DE SAN PEDRO;AVILA;920372601;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;MORENO MESÓN , JAIME PEDRO;PRIVADOS;
CLINICA DE FISIOTERAPIA JAVIER PEÑA FLOREZ;24-C22-0111;CL. ERA DEL MORO 3  ;24002;LEON;LEON;609185872;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;PEÑA FLOREZ , JAVIER ;PRIVADOS;
CLÍNICA DE FISIOTERAPIA KYNESIS, C.B.;34-C22-0060;CL. CORRAL DE LA CERERA 5  ;34002;PALENCIA;PALENCIA;619401129;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;CALVO GARCÍA , SANDRA;PRIVADOS;
CLÍNICA DE FISIOTERAPIA LAURA;34-C22-0062;CL. SANTA CLARA 3  ;34120;CARRION DE LOS CONDES;PALENCIA;654998780;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;MARTÍN SEBASTIAN , LAURA;PRIVADOS;
CLÍNICA DE FISIOTERAPIA LUMEN;37-C22-0158;CL. SAN PATRICIO 2  ;37002;SALAMANCA;SALAMANCA;923219508;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;IBÁÑEZ VALLEJO , IGNACIO JOSÉ;PRIVADOS;
CLÍNICA DE FISIOTERAPIA MANUEL CORRAL;34-C22-0073;CL. SAN BERNARDO 5  C;34002;PALENCIA;PALENCIA;663066090;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;CORRAL GONZÁLEZ , MANUEL;PRIVADOS;
CLINICA DE FISIOTERAPIA MARFIS;24-C22-0036;CL. LUÍS CARMONA  16  A;24002;LEON;LEON;987223601;987223601;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;SANCHA SALVADOR , MARTA;PRIVADOS;
CLÍNICA DE FISIOTERAPIA MARTÍN GRANIZO;24-C22-0041;AV. ROMA 4  ;24001;LEON;LEON;987273676;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;ANEL MARTÍN-GRANIZO , ISAAC;PRIVADOS;
